2024/12/04 17:08:10 Logger initialized. Logging to file: firewall.log
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:26f7:2e:4:ace0:c20a:: | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 52756
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:26f7:2e:4:ace0:c20a:: | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 52756
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a02:26f7:2e:4:ace0:c20a:: | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2620:1ec:21::16 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59607
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2620:1ec:21::16 | Port: 443
